,question,correct_anwer,generated_answer,is_match,meta
0,Cik bieži parasti notiek Vispārējie latviešu Dziesmu un Deju svētki?,Vispārējie latviešu Dziesmu un Deju svētki parasti notiek reizi piecos gados Rīgā.,Vispārējie latviešu Dziesmu un Deju svētki parasti notiek katru gadu Rīgā.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 3}"
1,Cik valstspilsētas Latvijā neietilpst novados?,Latvijā ir septiņas novados neietilpstošas valstspilsētas.,Latvijā ir piecas novados neietilpstošas valstspilsētas.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 2}"
2,Kura ministrija rosināja samazināt novadu skaitu Latvijā?,Novadu skaita samazināšanu rosināja Vides aizsardzības un reģionālās attīstības ministrija (VARAM).,Novadu skaita samazināšanu rosināja Izglītības un zinātnes ministrija (IZM).,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 1}"
3,Kāds bija Dziesmu svētku nosaukums padomju okupācijas laikā?,Pēc Latvijas okupācijas svētkus oficiāli pārdēvēja par Padomju Latvijas dziesmu (un deju) svētkiem.,Pēc Latvijas okupācijas svētkus oficiāli pārdēvēja par Baltijas miera dziesmu svētkiem.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 4}"
4,Cik daudz novadu ir Latvijā pēc 2021. gada administratīvi teritoriālās reformas?,Pēc 2021. gada 1. jūlija administratīvi teritoriālās reformas Latvijā ir 36 novadi.,Pēc 2021. gada 1. jūlija administratīvi teritoriālās reformas Latvijā ir 28 novadi.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 0}"
5,Kurš skaņdarbs lībiešu valodā pirmo reizi tika izpildīts Dziesmu svētku vēsturē?,"Pirmo reizi svētku vēsturē (koru lielkoncertā ""Tīrums. Dziesmas ceļš"") tika izpildīts Ineses Zanderes un Valta Pūces skaņdarbu cikla ""Nācēji"" II daļa ""Lībieši nāk"".","Pirmo reizi svētku vēsturē tika izpildīta Ineses Zanderes un Valta Pūces skaņdarbu cikla ""Nācēji"" I daļa ""Lībieši nāk"".",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 5}"
6,"Kurš gads tiek uzskatīts par krāsu televīzijas sākumu Latvijā, un kāda krāsu sistēma sākotnēji tika izmantota?","Krāsu televīzijas pārraides Latvijā tika uzsāktas 1974. gadā, sākotnēji izmantojot SECAM krāsu sistēmu.","Krāsu televīzijas pārraides Latvijā tika uzsāktas 1976. gadā, sākotnēji izmantojot PAL krāsu sistēmu.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 9}"
7,Kādēļ Imants Ziedonis nevarēja mācīties Bulduru dārzkopības tehnikumā?,"Imants Ziedonis nevarēja mācīties Bulduru dārzkopības tehnikumā slimības dēļ. Viņam atklāja tuberkulozi, kas lika viņam pavadīt ievērojamu dzīves daļu slimnīcās un sanatorijās.","Imants Ziedonis nevarēja mācīties Bulduru dārzkopības tehnikumā finansiālu grūtību dēļ. Viņam nācās strādāt, lai pabarotu ģimeni, kas lika viņam atteikties no mācībām.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 6}"
8,Kādu balvu Imants Ziedonis saņēma 1976. gadā un par ko?,"1976. gadā Imantam Ziedonim piešķīra Hansa Kristiāna Andersena balvu par grāmatu ""Krāsainās pasakas"".  Šajā pašā gadā viņš arī izveidoja ""Dižkoku atbrīvošanas grupu"".","1976. gadā Imantam Ziedonim piešķīra Nobela prēmiju par grāmatu ""Dižkoku atbrīvošana"". Šajā pašā gadā viņš arī izveidoja ""Krāsaino pasaku"" grupu.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 8}"
9,Ar ko Imants Ziedonis apprecējās 1966. gadā?,"1966. gadā Imants Ziedonis apprecējās ar aktrisi Ausmu Kantāni. Šis notikums norisinājās laikā, kad viņš strādāja par redaktoru izdevniecībā ""Liesma"" un vēlāk par Rakstnieku savienības valdes sekretāru, un bija izdevis dzejas krājumus ""Sirds dinamīts"" un ""Motocikls"".","1966. gadā Imants Ziedonis apprecējās ar rakstnieci Liju Brīdaku. Šis notikums notika laikā, kad viņš strādāja par skolotāju un bija izdevis romānu ""Kuršu ķēniņš"".",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 7}"
10,"Kad Latvijas Televīzija pilnībā pārgāja uz valsts finansējumu, un kāda bija iepriekšējā finansēšanas struktūra?",Latvijas Televīzija pilnībā pārgāja uz valsts finansējumu 2021. gadā. Iepriekš 40% no tās budžeta veidoja ieņēmumi no reklāmas.,Latvijas Televīzija pilnībā pārgāja uz valsts finansējumu 2019. gadā. Iepriekš 60% no tās budžeta veidoja ieņēmumi no ziedojumiem.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 10}"
11,Kas kontrolē Latvijas Televīzijas darbību?,Latvijas Televīzijas darbību kontrolē Sabiedrisko elektronisko un plašsaziņas līdzekļu padome (SEPLP).,Latvijas Televīzijas darbību kontrolē Nacionālā Elektronisko plašsaziņas līdzekļu padome (NEPLP).,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 12}"
12,"Cik televīzijas kanālus pārvalda Latvijas Televīzija, un kā tie tiek raidīti?","Latvijas Televīzija pārvalda divus kanālus: LTV1 un LTV7. Abi kanāli tiek raidīti caur Astra 4A sakaru pavadoni, kā daļa no Viasat (tagad Home3) SES SIRIUS maksas paketes.","Latvijas Televīzija pārvalda četrus kanālus: LTV1, LTV2, LTV3 un LTV4. Visi kanāli tiek raidīti caur Hotbird sakaru pavadoni kā daļa no Viasat (tagad Home3) SES SIRIUS maksas paketes.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""lav_nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 11}"
