,question,correct_anwer,generated_answer,is_match,meta
0,"Kokia raidė, anot kalbininko G. Subačiaus, yra unikali lietuvių kalboje ir kodėl?","Anot kalbininko G. Subačiaus, raidė ""ė"" yra unikali lietuvių kalboje. Jis teigia, kad jokia kita pasaulio kalba šios raidės neturi. Tačiau verta paminėti, kad raidė ""ė"" (su kitokiu tarimu) naudojama ir šajenų kalboje.","Anot kalbininko G. Subačiaus, raidė ""ė"" yra unikali lietuvių kalboje. Jis teigia, kad ši raidė naudojama keliuose skirtinguose Pabaltijo regionuose.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 0}"
1,Kokie diakritiniai ženklai naudojami lietuvių kalbos raidėse?,"Lietuvių kalbos raidėse naudojami šie diakritiniai ženklai: taškas, nosinė, paukščiukas ir brūkšnelis.","Lietuvių kalbos raidėse naudojami šie diakritiniai ženklai: grėblys, kablelis, žvaigždutė ir kabliataškis.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 2}"
2,Kokios šalys sugrįžta į Eurovizijos dainų konkursą 2024 metais?,"Į 2024 metų Eurovizijos dainų konkursą sugrįžta Liuksemburgas, kuris paskutinį kartą dalyvavo 1993 metais, ir Šiaurės Makedonija, kuri nedalyvavo 2023 metų konkurse.","Į 2024 metų Eurovizijos dainų konkursą sugrįžta Andora, kuri paskutinį kartą dalyvavo 1993 metais, ir Kroatija, kuri nedalyvavo 2023 metų konkurse.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 4}"
3,Kur ir kada vyks Eurovizijos dainų konkurso 2024 pusfinaliai ir finalas?,"Du pusfinaliai vyks gegužės 7 ir 9 dienomis, o finalas – gegužės 11 dieną. Visi renginiai vyks Malmės arenoje, Malmėje, Švedijoje.","Du pusfinaliai vyks balandžio 7 ir 9 dienomis, o finalas – balandžio 11 dieną. Visi renginiai vyks Stokholmo arenoje, Stokholme, Švedijoje.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 5}"
4,"Kelintas kartas bus, kai Eurovizijos dainų konkursas vyks Švedijoje?","2024 metais Švedijoje vyks septintasis Eurovizijos dainų konkursas. Ši šalis konkursą jau yra rengusi 1975, 1985, 1992, 2000, 2013 ir 2016 metais.","2024 metais Švedijoje vyks aštuntasis Eurovizijos dainų konkursas. Ši šalis konkursą jau yra rengusi 1975, 1985, 1992, 2001, 2013 ir 2016 metais.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 3}"
5,Kada ir kieno buvo sukurta pirmoji lietuviška abėcėlė?,"Pirmąją lietuvišką abėcėlę 1547 m. parengė Martynas Mažvydas. Joje buvo 23 gotiškojo šrifto raidės, tačiau dar nebuvo raidžių č, š, ž, ą, ę, ė, į, ų, ū.","Pirmąją lietuvišką abėcėlę 1569 m. parengė Jonas Basanavičius. Joje buvo 25 lotyniškojo šrifto raidės, tačiau dar nebuvo raidžių č, š, ž, ą, ę, ė, į, ų, ū.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 1}"
6,Kokiais metais Vilniaus senamiestis buvo įtrauktas į UNESCO pasaulio paveldo sąrašą?,Vilniaus senamiestis buvo įtrauktas į UNESCO pasaulio paveldo sąrašą 1994 metais.,Vilniaus senamiestis buvo įtrauktas į UNESCO pasaulio paveldo sąrašą 1996 metais.,False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 10}"
7,Koks įvykis paskatino Šiaurės Atlanto sutarties įgyvendinimą?,"Nors Šiaurės Atlanto sutartis buvo pasirašyta 1949 metais, jos įgyvendinimas buvo paskatintas Korėjos karo.","Nors Šiaurės Atlanto sutartis buvo pasirašyta 1948 metais, jos įgyvendinimas buvo paskatintas Vietnamo karo.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 8}"
8,Nuo kurios upės kilo Vilniaus pavadinimas?,"Vilniaus pavadinimas kilo nuo Vilnios upės, tekančios per miestą.","Vilniaus pavadinimas kilo nuo Nemuno upės, tekančios per miestą.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 11}"
9,Kur yra NATO būstinė?,"NATO būstinė yra Briuselyje, Belgijoje.","NATO būstinė yra Berlyne, Vokietijoje.",False,"{""modelname"": ""gpt-4o-2024-08-06"", ""load_dir"": ""nonmatch_answers"", ""type_gen"": ""MinorChanges"", ""original_data_idx"": 7}"
